# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writer_0.totalTimeSpentWritingMs,1777377121637000000,1777377181747000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777377121637000000,1777377181747000000,0
IndexesFlusher.totalFlushingTimeUs,1777377121637000000,1777377181747000000,214822
Indexing.cache.totalCacheAccesses,1777377121637000000,1777377181747000000,2
Indexes.entries.lookups,1777377121637000000,1777377181747000000,2
Indexes.entries.lookupDuration90PMs,1777377121637000000,1777377181747000000,0.0
IndexesFlusher.totalFlushesRetried,1777377121637000000,1777377181747000000,1
Indexes.entries.lookupDurationAvgMs,1777377121637000000,1777377181747000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1777377121637000000,1777377181747000000,0
IndexesFlusher.totalContentionQuotaSpent,1777377121637000000,1777377181747000000,17
Indexing.writer_3.totalTimeSpentWritingMs,1777377121637000000,1777377181747000000,0
Indexing.writesQueuedMin,1777377121637000000,1777377181747000000,9223372036854775807
Indexes.entries.lookupDurationMaxMs,1777377121637000000,1777377181747000000,0.0
IndexesFlusher.totalFlushes,1777377121637000000,1777377181747000000,59
Indexing.cache.totalCacheMisses,1777377121637000000,1777377181747000000,2
Indexes.stubs.lookupDurationMaxMs,1777377121637000000,1777377181747000000,0.0
Indexing.cache.totalCacheEvicted,1777377121637000000,1777377181747000000,2
Indexes.stubs.lookupDurationAvgMs,1777377121637000000,1777377181747000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1777377121637000000,1777377181747000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1777377121637000000,1777377181747000000,0.0
Indexes.allKeys.lookups,1777377121637000000,1777377181747000000,0
Indexes.stubs.lookupDuration90PMs,1777377121637000000,1777377181747000000,0.0
Indexing.totalTimeIndexersSleptMs,1777377121637000000,1777377181747000000,0
Indexes.stubs.lookups,1777377121637000000,1777377181747000000,0
Indexing.writesQueuedMax,1777377121637000000,1777377181747000000,0
Indexes.allKeys.lookupDuration90PMs,1777377121637000000,1777377181747000000,0.0
